feedback_id,customer_name,feedback,date,product,clean_feedback
1,Karthik,Acceptable performance,2025-01-13,Laptop,acceptableperformance
2,Priya,Great service and fast delivery,2025-12-27,Headphones,greatserviceandfastdelivery
3,Anitha,Support team was very helpful,2025-12-15,Smart Watch,supportteamwasveryhelpful
4,Anitha,Average experience,2025-10-04,E-commerce,averageexperience
5,Manoj,Great service and fast delivery,2025-12-17,Headphones,greatserviceandfastdelivery
6,Priya,Customer support did not respond,2025-06-25,Laptop,customersupportdidnotrespond
7,Divya,Decent product,2025-03-24,Headphones,decentproduct
8,Priya,Support team was very helpful,2025-05-14,Mobile App,supportteamwasveryhelpful
9,Rahul,Support team was very helpful,2025-06-13,E-commerce,supportteamwasveryhelpful
10,Rahul,Excellent quality and very satisfied,2025-06-27,Banking App,excellentqualityandverysatisfied
11,Arun,Very happy with the product,2025-08-04,Laptop,veryhappywiththeproduct
12,Manoj,Worst product ever,2025-03-22,Smart Watch,worstproductever
13,Manoj,Poor quality and waste of money,2025-07-15,Mobile App,poorqualityandwasteofmoney
14,Suresh,Very happy with the product,2025-12-05,Banking App,veryhappywiththeproduct
15,Sneha,Excellent quality and very satisfied,2025-02-01,Smart Watch,excellentqualityandverysatisfied
16,Anitha,Average experience,2025-04-03,Laptop,averageexperience
17,Priya,Decent product,2025-05-12,Internet Service,decentproduct
18,Karthik,Great service and fast delivery,2025-05-16,Smart Watch,greatserviceandfastdelivery
19,Arun,Decent product,2025-06-11,E-commerce,decentproduct
20,Sneha,Poor quality and waste of money,2025-04-21,Laptop,poorqualityandwasteofmoney
21,Arun,"Amazing experience, highly recommend",2025-01-19,Mobile,amazingexperiencehighlyrecommend
22,Karthik,Worst product ever,2025-07-31,Mobile App,worstproductever
23,Rahul,"Amazing experience, highly recommend",2025-05-15,E-commerce,amazingexperiencehighlyrecommend
24,Sneha,Excellent quality and very satisfied,2025-01-17,Mobile,excellentqualityandverysatisfied
25,Karthik,Decent product,2025-10-10,Headphones,decentproduct
26,Rahul,Poor quality and waste of money,2025-08-17,Internet Service,poorqualityandwasteofmoney
27,Anitha,Customer support did not respond,2025-12-26,Laptop,customersupportdidnotrespond
28,Suresh,Great service and fast delivery,2025-05-18,Mobile,greatserviceandfastdelivery
29,Karthik,Great service and fast delivery,2025-11-14,Mobile App,greatserviceandfastdelivery
30,Priya,Support team was very helpful,2025-10-17,Internet Service,supportteamwasveryhelpful
31,Manoj,Decent product,2025-03-20,Internet Service,decentproduct
32,Suresh,Support team was very helpful,2025-03-26,Internet Service,supportteamwasveryhelpful
33,Pooja,Excellent quality and very satisfied,2025-05-03,Headphones,excellentqualityandverysatisfied
34,Suresh,Worst product ever,2025-09-16,Mobile,worstproductever
35,Arun,Okay for the price,2025-06-16,E-commerce,okayfortheprice
36,Suresh,Okay for the price,2025-01-19,Smart Watch,okayfortheprice
37,Karthik,Worst product ever,2025-09-02,Banking App,worstproductever
38,Pooja,Support team was very helpful,2025-01-26,Headphones,supportteamwasveryhelpful
39,Priya,Very bad experience and disappointed,2025-11-28,Laptop,verybadexperienceanddisappointed
40,Pooja,Very bad experience and disappointed,2025-07-23,Mobile App,verybadexperienceanddisappointed
41,Rahul,Worst product ever,2025-01-27,Banking App,worstproductever
42,Suresh,Worst product ever,2025-03-25,Mobile,worstproductever
43,Anitha,"Amazing experience, highly recommend",2025-05-18,Internet Service,amazingexperiencehighlyrecommend
44,Rahul,Great service and fast delivery,2025-10-09,Internet Service,greatserviceandfastdelivery
45,Anitha,Very happy with the product,2025-02-17,Internet Service,veryhappywiththeproduct
46,Priya,Decent product,2025-09-14,Laptop,decentproduct
47,Priya,Average experience,2025-03-27,Banking App,averageexperience
48,Pooja,Very happy with the product,2025-09-05,Headphones,veryhappywiththeproduct
49,Suresh,Average experience,2025-04-25,Headphones,averageexperience
50,Karthik,Worst product ever,2025-07-02,Mobile App,worstproductever
51,Pooja,Okay for the price,2025-07-30,Mobile App,okayfortheprice
52,Anitha,Acceptable performance,2025-10-18,Laptop,acceptableperformance
53,Pooja,Acceptable performance,2025-06-12,E-commerce,acceptableperformance
54,Divya,Okay for the price,2025-04-04,Mobile,okayfortheprice
55,Divya,Delivery was too late,2025-07-01,E-commerce,deliverywastoolate
56,Sneha,Customer support did not respond,2025-06-29,Smart Watch,customersupportdidnotrespond
57,Sneha,Very bad experience and disappointed,2025-09-10,Laptop,verybadexperienceanddisappointed
58,Arun,Worst product ever,2025-08-01,Mobile,worstproductever
59,Arun,Excellent quality and very satisfied,2025-12-22,Banking App,excellentqualityandverysatisfied
60,Anitha,Acceptable performance,2025-11-30,Mobile,acceptableperformance
61,Manoj,Delivery was too late,2025-01-06,Banking App,deliverywastoolate
62,Arun,Customer support did not respond,2025-03-27,E-commerce,customersupportdidnotrespond
63,Priya,Delivery was too late,2025-01-25,Headphones,deliverywastoolate
64,Sneha,Acceptable performance,2025-02-14,Mobile,acceptableperformance
65,Suresh,"Amazing experience, highly recommend",2025-07-22,Laptop,amazingexperiencehighlyrecommend
66,Pooja,Customer support did not respond,2025-07-19,Mobile App,customersupportdidnotrespond
67,Sneha,Poor quality and waste of money,2025-06-30,Mobile App,poorqualityandwasteofmoney
68,Divya,Great service and fast delivery,2025-02-12,Mobile App,greatserviceandfastdelivery
69,Manoj,Very bad experience and disappointed,2025-11-13,Laptop,verybadexperienceanddisappointed
70,Priya,Delivery was too late,2025-03-18,Smart Watch,deliverywastoolate
71,Manoj,Nothing special,2025-10-18,Banking App,nothingspecial
72,Anitha,Very happy with the product,2025-07-07,Laptop,veryhappywiththeproduct
73,Sneha,Average experience,2025-04-08,Laptop,averageexperience
74,Priya,"Amazing experience, highly recommend",2025-10-14,E-commerce,amazingexperiencehighlyrecommend
75,Priya,"Amazing experience, highly recommend",2026-01-01,Banking App,amazingexperiencehighlyrecommend
76,Arun,Acceptable performance,2025-08-12,Smart Watch,acceptableperformance
77,Rahul,Average experience,2025-12-30,Internet Service,averageexperience
78,Arun,Great service and fast delivery,2025-01-07,Laptop,greatserviceandfastdelivery
79,Manoj,Worst product ever,2025-10-26,Mobile,worstproductever
80,Karthik,Great service and fast delivery,2025-04-23,Headphones,greatserviceandfastdelivery
81,Anitha,Worst product ever,2025-01-02,E-commerce,worstproductever
82,Divya,"Amazing experience, highly recommend",2025-07-10,Headphones,amazingexperiencehighlyrecommend
83,Priya,Okay for the price,2025-03-03,Banking App,okayfortheprice
84,Suresh,Very happy with the product,2025-08-28,Headphones,veryhappywiththeproduct
85,Karthik,Very happy with the product,2025-06-20,Mobile App,veryhappywiththeproduct
86,Rahul,Poor quality and waste of money,2025-11-23,Internet Service,poorqualityandwasteofmoney
87,Sneha,Nothing special,2025-02-02,Mobile,nothingspecial
88,Sneha,Worst product ever,2025-06-10,Laptop,worstproductever
89,Anitha,Nothing special,2025-05-03,Smart Watch,nothingspecial
90,Manoj,Average experience,2025-06-10,Banking App,averageexperience
91,Rahul,Average experience,2025-04-13,Headphones,averageexperience
92,Suresh,Poor quality and waste of money,2025-08-30,Mobile App,poorqualityandwasteofmoney
93,Anitha,Worst product ever,2025-09-30,Banking App,worstproductever
94,Manoj,Delivery was too late,2025-08-07,Headphones,deliverywastoolate
95,Arun,Worst product ever,2025-08-01,E-commerce,worstproductever
96,Arun,Okay for the price,2025-01-19,Internet Service,okayfortheprice
97,Anitha,Excellent quality and very satisfied,2025-03-11,Laptop,excellentqualityandverysatisfied
98,Manoj,"Amazing experience, highly recommend",2025-01-16,E-commerce,amazingexperiencehighlyrecommend
99,Priya,Great service and fast delivery,2025-01-31,Banking App,greatserviceandfastdelivery
100,Pooja,Very bad experience and disappointed,2025-01-31,Smart Watch,verybadexperienceanddisappointed
101,Priya,Support team was very helpful,2025-06-18,Mobile,supportteamwasveryhelpful
102,Rahul,Poor quality and waste of money,2025-02-07,Banking App,poorqualityandwasteofmoney
103,Pooja,Very bad experience and disappointed,2025-12-19,Mobile,verybadexperienceanddisappointed
104,Pooja,Customer support did not respond,2025-11-30,Mobile,customersupportdidnotrespond
105,Karthik,Nothing special,2025-11-12,Laptop,nothingspecial
106,Anitha,Average experience,2025-11-01,Smart Watch,averageexperience
107,Priya,Poor quality and waste of money,2025-08-13,E-commerce,poorqualityandwasteofmoney
108,Divya,Acceptable performance,2025-12-28,Headphones,acceptableperformance
109,Manoj,Support team was very helpful,2025-04-09,Mobile App,supportteamwasveryhelpful
110,Rahul,Decent product,2025-12-31,Banking App,decentproduct
111,Manoj,Acceptable performance,2025-10-25,Mobile App,acceptableperformance
112,Pooja,"Amazing experience, highly recommend",2025-05-15,Headphones,amazingexperiencehighlyrecommend
113,Arun,Average experience,2025-01-07,Laptop,averageexperience
114,Divya,"Amazing experience, highly recommend",2025-07-27,Internet Service,amazingexperiencehighlyrecommend
115,Karthik,Very bad experience and disappointed,2025-03-21,Mobile,verybadexperienceanddisappointed
116,Sneha,"Amazing experience, highly recommend",2025-04-14,E-commerce,amazingexperiencehighlyrecommend
117,Karthik,Worst product ever,2025-06-11,Mobile App,worstproductever
118,Rahul,"Amazing experience, highly recommend",2025-07-04,Mobile,amazingexperiencehighlyrecommend
119,Divya,Support team was very helpful,2025-05-20,E-commerce,supportteamwasveryhelpful
120,Rahul,"Amazing experience, highly recommend",2025-12-22,Mobile,amazingexperiencehighlyrecommend
121,Karthik,Customer support did not respond,2025-08-21,Internet Service,customersupportdidnotrespond
122,Sneha,"Amazing experience, highly recommend",2025-04-14,Mobile App,amazingexperiencehighlyrecommend
123,Pooja,"Amazing experience, highly recommend",2025-01-26,E-commerce,amazingexperiencehighlyrecommend
124,Arun,Okay for the price,2025-08-23,Laptop,okayfortheprice
125,Divya,Support team was very helpful,2025-05-09,Smart Watch,supportteamwasveryhelpful
126,Rahul,Poor quality and waste of money,2025-09-02,E-commerce,poorqualityandwasteofmoney
127,Suresh,Nothing special,2025-11-24,Banking App,nothingspecial
128,Anitha,Customer support did not respond,2025-01-19,Smart Watch,customersupportdidnotrespond
129,Sneha,Very bad experience and disappointed,2025-04-19,Mobile App,verybadexperienceanddisappointed
130,Pooja,Customer support did not respond,2025-03-11,Internet Service,customersupportdidnotrespond
131,Karthik,Worst product ever,2025-03-16,E-commerce,worstproductever
